startTime,endTime,latency,operation,recordCount
2024-07-30 07:34:31.149358,2024-07-30 07:34:31.325798,0.176,anonymization,100
2024-07-30 07:34:31.326864,2024-07-30 07:34:31.825338,0.499,saving,100
2024-07-30 07:35:01.898937,2024-07-30 07:35:01.923581,0.025,anonymization,100
2024-07-30 07:35:01.923703,2024-07-30 07:35:02.259528,0.336,saving,100
2024-07-30 07:35:32.283356,2024-07-30 07:35:32.320482,0.037,anonymization,100
2024-07-30 07:35:32.320679,2024-07-30 07:35:32.594234,0.274,saving,100
2024-07-30 07:36:02.616095,2024-07-30 07:36:02.631077,0.015,anonymization,100
2024-07-30 07:36:02.631251,2024-07-30 07:36:02.945644,0.314,saving,100
2024-07-30 07:36:32.967450,2024-07-30 07:36:32.981083,0.014,anonymization,100
2024-07-30 07:36:32.981242,2024-07-30 07:36:33.270578,0.289,saving,100
2024-07-30 07:37:03.295531,2024-07-30 07:37:03.305460,0.010,anonymization,100
2024-07-30 07:37:03.305620,2024-07-30 07:37:03.610811,0.305,saving,100
2024-07-30 07:37:33.639999,2024-07-30 07:37:33.652948,0.013,anonymization,100
2024-07-30 07:37:33.653106,2024-07-30 07:37:33.899365,0.246,saving,100
2024-07-30 07:38:03.920388,2024-07-30 07:38:03.932590,0.012,anonymization,100
2024-07-30 07:38:03.932736,2024-07-30 07:38:04.157167,0.225,saving,100
2024-07-30 07:38:34.180895,2024-07-30 07:38:34.192278,0.012,anonymization,100
2024-07-30 07:38:34.192407,2024-07-30 07:38:34.405204,0.213,saving,100
2024-07-30 07:39:04.426272,2024-07-30 07:39:04.436725,0.010,anonymization,100
2024-07-30 07:39:04.436858,2024-07-30 07:39:04.663050,0.227,saving,100
2024-07-30 07:39:34.694616,2024-07-30 07:39:34.779252,0.085,anonymization,1000
2024-07-30 07:39:34.780559,2024-07-30 07:39:36.880020,2.100,saving,1000
2024-07-30 07:40:06.911029,2024-07-30 07:40:06.953046,0.042,anonymization,1000
2024-07-30 07:40:06.953669,2024-07-30 07:40:08.688063,1.735,saving,1000
2024-07-30 07:40:38.720143,2024-07-30 07:40:38.752103,0.032,anonymization,1000
2024-07-30 07:40:38.752720,2024-07-30 07:40:40.313596,1.561,saving,1000
2024-07-30 07:41:10.341675,2024-07-30 07:41:10.375585,0.034,anonymization,1000
2024-07-30 07:41:10.376012,2024-07-30 07:41:12.015022,1.639,saving,1000
2024-07-30 07:41:42.042801,2024-07-30 07:41:42.083655,0.041,anonymization,1000
2024-07-30 07:41:42.084310,2024-07-30 07:41:43.654654,1.570,saving,1000
2024-07-30 07:42:13.690607,2024-07-30 07:42:13.720082,0.030,anonymization,1000
2024-07-30 07:42:13.720510,2024-07-30 07:42:15.248039,1.528,saving,1000
2024-07-30 07:42:45.273469,2024-07-30 07:42:45.316713,0.043,anonymization,1000
2024-07-30 07:42:45.317373,2024-07-30 07:42:46.746983,1.429,saving,1000
2024-07-30 07:43:16.774559,2024-07-30 07:43:16.810294,0.036,anonymization,1000
2024-07-30 07:43:16.810928,2024-07-30 07:43:18.211326,1.401,saving,1000
2024-07-30 07:43:48.239466,2024-07-30 07:43:48.264085,0.025,anonymization,1000
2024-07-30 07:43:48.264509,2024-07-30 07:43:49.640459,1.376,saving,1000
2024-07-30 07:44:19.667209,2024-07-30 07:44:19.693722,0.026,anonymization,1000
2024-07-30 07:44:19.694324,2024-07-30 07:44:21.166177,1.472,saving,1000
2024-07-30 07:44:51.221895,2024-07-30 07:44:51.433943,0.212,anonymization,10000
2024-07-30 07:44:51.437960,2024-07-30 07:45:07.419731,15.982,saving,10000
2024-07-30 07:45:37.510951,2024-07-30 07:45:37.713539,0.203,anonymization,10000
2024-07-30 07:45:37.717461,2024-07-30 07:45:54.074969,16.357,saving,10000
2024-07-30 07:46:24.139911,2024-07-30 07:46:24.344411,0.205,anonymization,10000
2024-07-30 07:46:24.348692,2024-07-30 07:46:39.503413,15.155,saving,10000
2024-07-30 07:47:09.572122,2024-07-30 07:47:09.805167,0.233,anonymization,10000
2024-07-30 07:47:09.809783,2024-07-30 07:47:25.068088,15.259,saving,10000
2024-07-30 07:47:55.139655,2024-07-30 07:47:55.337069,0.198,anonymization,10000
2024-07-30 07:47:55.341256,2024-07-30 07:48:10.235879,14.894,saving,10000
2024-07-30 07:48:40.296506,2024-07-30 07:48:40.485769,0.189,anonymization,10000
2024-07-30 07:48:40.487487,2024-07-30 07:48:55.353484,14.866,saving,10000
2024-07-30 07:49:25.416579,2024-07-30 07:49:25.616117,0.200,anonymization,10000
2024-07-30 07:49:25.618613,2024-07-30 07:49:40.649987,15.031,saving,10000
2024-07-30 07:50:10.711935,2024-07-30 07:50:10.950272,0.239,anonymization,10000
2024-07-30 07:50:10.952071,2024-07-30 07:50:25.681792,14.729,saving,10000
2024-07-30 07:50:55.739071,2024-07-30 07:50:55.952648,0.213,anonymization,10000
2024-07-30 07:50:55.954158,2024-07-30 07:51:10.737380,14.783,saving,10000
2024-07-30 07:51:40.802855,2024-07-30 07:51:41.123067,0.321,anonymization,10000
2024-07-30 07:51:41.126104,2024-07-30 07:51:55.935071,14.809,saving,10000
