start_time,end_time,duration_seconds,record_count,transactions_per_second,latency_ms,metrics_latency_ms
2024-07-29 07:18:09.061640 +0000 UTC m=+9.061640,2024-07-29 07:18:09.063293 +0000 UTC m=+9.063293,0.001653,200,120992.13551119178,1.653,7.329
2024-07-29 07:18:19.099216 +0000 UTC m=+19.099216,2024-07-29 07:18:19.100674 +0000 UTC m=+19.100674,0.001458,400,274348.4224965706,1.4580000000000002,6.625
2024-07-29 07:18:29.134613 +0000 UTC m=+29.134613,2024-07-29 07:18:29.136309 +0000 UTC m=+29.136309,0.001696,600,353773.58490566036,1.696,6.648000000000001
2024-07-29 07:18:39.170568 +0000 UTC m=+39.170568,2024-07-29 07:18:39.172364 +0000 UTC m=+39.172364,0.001796,800,445434.2984409799,1.796,6.202
2024-07-29 07:18:49.206660 +0000 UTC m=+49.206660,2024-07-29 07:18:49.209583 +0000 UTC m=+49.209583,0.002923,1000,342114.2661648991,2.9229999999999996,6.699
2024-07-29 07:18:59.244282 +0000 UTC m=+59.244282,2024-07-29 07:18:59.245892 +0000 UTC m=+59.245892,0.00161,200,124223.60248447204,1.61,6.09
2024-07-29 07:19:09.278881 +0000 UTC m=+9.278881,2024-07-29 07:19:09.280628 +0000 UTC m=+9.280628,0.001747,400,228963.9381797367,1.747,5.916
2024-07-29 07:19:19.314929 +0000 UTC m=+19.314929,2024-07-29 07:19:19.316481 +0000 UTC m=+19.316481,0.001552,600,386597.9381443299,1.552,6.414000000000001
2024-07-29 07:19:29.350065 +0000 UTC m=+29.350065,2024-07-29 07:19:29.351566 +0000 UTC m=+29.351566,0.001501,800,532978.0146568954,1.501,6.279
2024-07-29 07:19:39.385714 +0000 UTC m=+39.385714,2024-07-29 07:19:39.387691 +0000 UTC m=+39.387691,0.001977,1000,505816.8942842691,1.977,6.525
2024-07-29 07:19:49.421404 +0000 UTC m=+49.421404,2024-07-29 07:19:49.422881 +0000 UTC m=+49.422881,0.001477,200,135409.61408259987,1.477,6.1739999999999995
2024-07-29 07:19:59.456742 +0000 UTC m=+59.456742,2024-07-29 07:19:59.458313 +0000 UTC m=+59.458313,0.001571,400,254614.89497135582,1.571,6.068
2024-07-29 07:20:09.492244 +0000 UTC m=+9.492244,2024-07-29 07:20:09.493970 +0000 UTC m=+9.493970,0.001726,600,347624.56546929316,1.7260000000000002,6.241
2024-07-29 07:20:19.525344 +0000 UTC m=+19.525344,2024-07-29 07:20:19.526978 +0000 UTC m=+19.526978,0.001634,800,489596.08323133417,1.6340000000000001,6.41
2024-07-29 07:20:29.561716 +0000 UTC m=+29.561716,2024-07-29 07:20:29.563439 +0000 UTC m=+29.563439,0.001723,1000,580383.0528148578,1.7229999999999999,6.332
2024-07-29 07:20:39.596781 +0000 UTC m=+39.596781,2024-07-29 07:20:39.598115 +0000 UTC m=+39.598115,0.001334,200,149925.03748125938,1.3339999999999999,6.093999999999999
2024-07-29 07:20:49.630730 +0000 UTC m=+49.630730,2024-07-29 07:20:49.632115 +0000 UTC m=+49.632115,0.001385,300,216606.49819494586,1.385,6.076
